,IDCliente,Produto Alacarte,Churn,NPS,Média desconto fatura 3M
9716,9717,Netflix,Sim,Detrator,29.94
9717,9718,Disney,Não,Detrator,18.54
9718,9719,Disney,Sim,Neutro,27.84
9719,9720,Netflix,Sim,Detrator,15.72
9720,9721,Netflix,Não,Neutro,15.93
9721,9722,Prime,Sim,Promotor,12.9
9722,9723,Globoplay,Não,Neutro,24.03
9723,9724,MAX,Sim,Neutro,24.11
9724,9725,Netflix,Não,Neutro,16.29
9725,9726,Prime,Não,Detrator,24.35
9726,9727,MAX,Sim,Detrator,29.72
9727,9728,MAX,Não,Detrator,28.23
9728,9729,Globoplay,Sim,Promotor,25.08
9729,9730,MAX,Sim,Detrator,16.24
9730,9731,Globoplay,Sim,Promotor,16.74
9731,9732,Prime,Não,Neutro,16.46
9732,9733,Globoplay,Não,Promotor,25.43
9733,9734,MAX,Não,Neutro,11.41
9734,9735,Prime,Não,Promotor,29.36
9735,9736,Netflix,Sim,Neutro,13.15
9736,9737,Globoplay,Sim,Neutro,19.74
9737,9738,Prime,Não,Neutro,15.46
9738,9739,MAX,Não,Promotor,24.04
9739,9740,Netflix,Não,Promotor,23.46
9740,9741,Disney,Não,Detrator,18.5
9741,9742,Prime,Não,Promotor,27.74
9742,9743,Prime,Sim,Neutro,28.03
9743,9744,Disney,Não,Promotor,13.27
9744,9745,Netflix,Não,Detrator,19.46
9745,9746,Globoplay,Não,Detrator,21.71
9746,9747,Disney,Não,Promotor,10.49
9747,9748,MAX,Sim,Detrator,24.74
9748,9749,Disney,Não,Promotor,22.92
9749,9750,Prime,Sim,Neutro,20.75
9750,9751,Disney,Não,Promotor,12.96
9751,9752,Disney,Não,Promotor,17.08
9752,9753,Globoplay,Sim,Detrator,29.3
9753,9754,Disney,Sim,Promotor,23.45
9754,9755,Globoplay,Sim,Neutro,13.03
9755,9756,MAX,Sim,Promotor,17.19
9756,9757,Netflix,Não,Promotor,12.89
9757,9758,Disney,Não,Detrator,16.0
9758,9759,Disney,Não,Neutro,29.54
9759,9760,Disney,Não,Promotor,28.73
9760,9761,Netflix,Sim,Promotor,25.0
9761,9762,Prime,Não,Neutro,12.79
9762,9763,Globoplay,Não,Neutro,28.59
9763,9764,Disney,Não,Promotor,16.6
9764,9765,Netflix,Não,Promotor,13.02
9765,9766,Globoplay,Não,Detrator,12.34
9766,9767,Disney,Não,Promotor,18.78
9767,9768,Disney,Não,Promotor,27.79
9768,9769,MAX,Não,Promotor,26.43
9769,9770,Prime,Não,Promotor,28.82
9770,9771,Netflix,Sim,Neutro,18.65
9771,9772,Prime,Não,Promotor,24.49
9772,9773,Prime,Não,Promotor,10.37
9773,9774,Prime,Não,Detrator,11.09
9774,9775,Prime,Não,Promotor,27.05
9775,9776,Netflix,Não,Promotor,19.82
9776,9777,Prime,Sim,Neutro,12.74
9777,9778,Globoplay,Não,Neutro,18.33
9778,9779,Disney,Sim,Promotor,14.89
9779,9780,Netflix,Não,Detrator,17.21
9780,9781,MAX,Não,Neutro,20.94
9781,9782,Netflix,Sim,Neutro,25.87
9782,9783,Disney,Sim,Detrator,29.57
9783,9784,Prime,Não,Neutro,12.37
9784,9785,MAX,Sim,Neutro,27.36
9785,9786,Globoplay,Sim,Promotor,10.92
9786,9787,Disney,Sim,Neutro,20.68
9787,9788,MAX,Não,Promotor,13.06
9788,9789,Netflix,Sim,Neutro,20.08
9789,9790,Globoplay,Não,Detrator,10.33
9790,9791,Prime,Sim,Promotor,13.85
9791,9792,Globoplay,Sim,Promotor,27.01
9792,9793,Prime,Não,Promotor,12.08
9793,9794,Netflix,Não,Promotor,20.27
9794,9795,Prime,Não,Neutro,13.89
9795,9796,MAX,Não,Detrator,26.38
9796,9797,MAX,Não,Neutro,17.84
9797,9798,Disney,Não,Neutro,23.94
9798,9799,Disney,Não,Detrator,20.2
9799,9800,MAX,Não,Promotor,29.11
9800,9801,MAX,Não,Promotor,13.3
9801,9802,MAX,Sim,Promotor,24.96
9802,9803,Netflix,Não,Detrator,28.36
9803,9804,Prime,Não,Promotor,22.14
9804,9805,Disney,Sim,Promotor,26.12
9805,9806,Globoplay,Não,Promotor,18.77
9806,9807,Globoplay,Não,Detrator,27.96
9807,9808,Globoplay,Não,Promotor,17.17
9808,9809,Globoplay,Não,Promotor,27.24
9809,9810,Prime,Não,Promotor,10.04
9810,9811,MAX,Não,Detrator,11.35
9811,9812,Globoplay,Não,Neutro,16.52
9812,9813,Netflix,Sim,Neutro,25.92
9813,9814,Netflix,Não,Promotor,12.49
9814,9815,Disney,Não,Neutro,19.06
9815,9816,Globoplay,Não,Promotor,13.12
9816,9817,MAX,Sim,Neutro,21.34
9817,9818,Prime,Não,Detrator,12.79
9818,9819,MAX,Sim,Neutro,22.99
9819,9820,Prime,Sim,Neutro,13.78
9820,9821,Netflix,Não,Promotor,11.4
9821,9822,Netflix,Sim,Promotor,16.1
9822,9823,Netflix,Não,Detrator,24.74
9823,9824,Disney,Sim,Neutro,20.03
9824,9825,Netflix,Não,Detrator,17.99
9825,9826,MAX,Não,Detrator,10.04
9826,9827,MAX,Sim,Neutro,19.8
9827,9828,Netflix,Não,Promotor,10.2
9828,9829,MAX,Sim,Detrator,13.62
9829,9830,Globoplay,Não,Neutro,27.53
9830,9831,Globoplay,Não,Detrator,25.18
9831,9832,Prime,Sim,Neutro,25.06
9832,9833,Disney,Não,Neutro,13.2
9833,9834,Netflix,Não,Promotor,14.24
9834,9835,Prime,Sim,Detrator,19.08
9835,9836,Disney,Não,Promotor,21.15
9836,9837,Globoplay,Não,Detrator,11.44
9837,9838,Disney,Não,Promotor,16.6
9838,9839,MAX,Não,Neutro,22.3
9839,9840,Disney,Não,Promotor,29.24
9840,9841,Globoplay,Não,Neutro,12.26
9841,9842,Netflix,Não,Detrator,15.96
9842,9843,Netflix,Não,Detrator,11.16
9843,9844,MAX,Não,Neutro,27.99
9844,9845,Prime,Não,Promotor,18.27
9845,9846,Netflix,Não,Neutro,18.61
9846,9847,Prime,Sim,Detrator,13.46
9847,9848,Prime,Não,Promotor,25.94
9848,9849,Disney,Não,Detrator,21.88
9849,9850,Netflix,Não,Promotor,24.2
9850,9851,MAX,Sim,Promotor,14.65
9851,9852,Disney,Não,Promotor,25.75
9852,9853,Prime,Sim,Neutro,27.44
9853,9854,Netflix,Sim,Promotor,13.52
9854,9855,Globoplay,Não,Detrator,13.85
9855,9856,Disney,Não,Neutro,23.01
9856,9857,Prime,Não,Promotor,25.77
9857,9858,Globoplay,Não,Promotor,26.12
9858,9859,Globoplay,Não,Detrator,12.7
9859,9860,MAX,Não,Promotor,25.12
9860,9861,Globoplay,Não,Promotor,10.09
9861,9862,Netflix,Não,Promotor,12.63
9862,9863,Disney,Não,Promotor,15.02
9863,9864,Disney,Sim,Detrator,24.83
9864,9865,Disney,Não,Neutro,28.18
9865,9866,MAX,Não,Promotor,30.0
9866,9867,Netflix,Sim,Neutro,13.01
9867,9868,Prime,Sim,Promotor,24.64
9868,9869,Globoplay,Não,Neutro,14.06
9869,9870,Globoplay,Não,Neutro,29.3
9870,9871,Globoplay,Sim,Promotor,23.71
9871,9872,Netflix,Não,Promotor,21.4
9872,9873,Disney,Não,Detrator,15.05
9873,9874,MAX,Não,Promotor,29.75
9874,9875,Globoplay,Não,Promotor,13.6
9875,9876,Globoplay,Não,Neutro,19.86
9876,9877,Globoplay,Sim,Detrator,21.14
9877,9878,Netflix,Sim,Neutro,20.26
9878,9879,Globoplay,Não,Detrator,12.61
9879,9880,Disney,Não,Neutro,15.85
9880,9881,MAX,Não,Neutro,22.68
9881,9882,Globoplay,Não,Neutro,12.22
9882,9883,Disney,Sim,Detrator,27.66
9883,9884,Prime,Não,Promotor,23.26
9884,9885,Prime,Não,Promotor,10.55
9885,9886,Prime,Não,Promotor,10.13
9886,9887,Prime,Não,Detrator,20.31
9887,9888,Prime,Não,Promotor,11.6
9888,9889,Disney,Não,Detrator,28.01
9889,9890,Netflix,Sim,Promotor,13.35
9890,9891,Globoplay,Não,Promotor,25.67
9891,9892,Netflix,Não,Neutro,18.86
9892,9893,Disney,Não,Neutro,23.2
9893,9894,Disney,Sim,Detrator,14.81
9894,9895,Globoplay,Sim,Promotor,29.15
9895,9896,Netflix,Não,Promotor,15.95
9896,9897,Netflix,Não,Promotor,19.63
9897,9898,Globoplay,Não,Promotor,17.39
9898,9899,Disney,Sim,Promotor,13.78
9899,9900,Globoplay,Não,Neutro,16.82
9900,9901,Globoplay,Não,Promotor,11.57
9901,9902,Prime,Sim,Detrator,18.86
9902,9903,Disney,Não,Promotor,11.07
9903,9904,Globoplay,Sim,Promotor,29.37
9904,9905,Netflix,Não,Detrator,23.86
9905,9906,Prime,Sim,Promotor,24.66
9906,9907,MAX,Não,Detrator,25.49
9907,9908,MAX,Não,Promotor,25.2
9908,9909,Netflix,Sim,Promotor,29.3
9909,9910,Netflix,Não,Detrator,15.44
9910,9911,Globoplay,Não,Promotor,10.22
9911,9912,Prime,Não,Promotor,20.64
9912,9913,Globoplay,Sim,Detrator,13.59
9913,9914,MAX,Não,Neutro,10.48
9914,9915,MAX,Não,Promotor,16.8
9915,9916,Prime,Sim,Detrator,21.51
9916,9917,Prime,Não,Promotor,27.34
9917,9918,Globoplay,Sim,Promotor,19.83
9918,9919,Prime,Não,Detrator,17.83
9919,9920,MAX,Não,Detrator,25.91
9920,9921,Prime,Sim,Promotor,19.79
9921,9922,Netflix,Não,Neutro,19.22
9922,9923,Netflix,Não,Detrator,24.39
9923,9924,MAX,Não,Detrator,18.36
9924,9925,Prime,Sim,Neutro,28.07
9925,9926,Prime,Não,Promotor,28.31
9926,9927,Netflix,Não,Promotor,24.07
9927,9928,Disney,Não,Detrator,17.17
9928,9929,Disney,Sim,Detrator,13.32
9929,9930,Globoplay,Não,Promotor,28.25
9930,9931,Disney,Sim,Detrator,16.52
9931,9932,Netflix,Sim,Neutro,25.91
9932,9933,Netflix,Não,Promotor,17.41
9933,9934,Prime,Não,Promotor,15.96
9934,9935,Netflix,Não,Promotor,11.39
9935,9936,Prime,Não,Promotor,29.49
9936,9937,Netflix,Não,Detrator,24.54
9937,9938,MAX,Não,Promotor,20.93
9938,9939,Globoplay,Sim,Promotor,18.72
9939,9940,Globoplay,Sim,Neutro,11.32
9940,9941,Prime,Não,Promotor,26.26
9941,9942,Globoplay,Não,Promotor,12.55
9942,9943,MAX,Não,Promotor,26.4
9943,9944,Globoplay,Não,Detrator,13.12
9944,9945,Netflix,Sim,Detrator,23.01
9945,9946,Prime,Sim,Neutro,26.43
9946,9947,Globoplay,Não,Detrator,20.14
9947,9948,Netflix,Não,Promotor,26.01
9948,9949,Globoplay,Não,Detrator,19.34
9949,9950,Prime,Sim,Detrator,11.18
9950,9951,Prime,Não,Promotor,13.68
9951,9952,Netflix,Não,Neutro,12.07
9952,9953,Globoplay,Não,Promotor,14.44
9953,9954,Netflix,Não,Promotor,19.51
9954,9955,Prime,Não,Neutro,27.3
9955,9956,MAX,Não,Promotor,24.09
9956,9957,Globoplay,Sim,Neutro,20.95
9957,9958,MAX,Sim,Detrator,17.5
9958,9959,Prime,Não,Promotor,19.82
9959,9960,Globoplay,Não,Promotor,27.57
9960,9961,MAX,Sim,Promotor,27.66
9961,9962,Prime,Não,Neutro,18.33
9962,9963,Prime,Não,Neutro,21.07
9963,9964,Prime,Não,Promotor,27.71
9964,9965,Netflix,Não,Detrator,28.24
9965,9966,Prime,Não,Promotor,18.72
9966,9967,MAX,Sim,Neutro,29.47
9967,9968,Globoplay,Sim,Detrator,21.73
9968,9969,Disney,Não,Detrator,11.65
9969,9970,MAX,Não,Neutro,13.26
9970,9971,Prime,Sim,Detrator,11.86
9971,9972,Globoplay,Não,Promotor,26.34
9972,9973,Disney,Não,Promotor,27.19
9973,9974,Prime,Sim,Detrator,28.18
9974,9975,MAX,Não,Promotor,28.03
9975,9976,Globoplay,Não,Promotor,24.16
9976,9977,Globoplay,Não,Neutro,26.19
9977,9978,MAX,Não,Promotor,13.96
9978,9979,Globoplay,Não,Promotor,29.39
9979,9980,Disney,Sim,Neutro,13.7
9980,9981,Disney,Não,Promotor,25.08
9981,9982,Disney,Sim,Promotor,10.95
9982,9983,MAX,Sim,Detrator,27.22
9983,9984,Netflix,Não,Promotor,24.25
9984,9985,Disney,Sim,Promotor,18.53
9985,9986,Netflix,Não,Promotor,22.94
9986,9987,Disney,Sim,Detrator,11.47
9987,9988,Prime,Sim,Detrator,13.15
9988,9989,Disney,Sim,Promotor,14.76
9989,9990,Prime,Não,Promotor,21.8
9990,9991,Prime,Não,Neutro,12.67
9991,9992,Prime,Não,Detrator,29.92
9992,9993,MAX,Sim,Detrator,24.79
9993,9994,Disney,Não,Promotor,22.65
9994,9995,Disney,Sim,Promotor,23.28
9995,9996,Disney,Sim,Promotor,25.71
9996,9997,Netflix,Sim,Promotor,18.09
9997,9998,MAX,Não,Neutro,22.77
9998,9999,Globoplay,Não,Detrator,20.95
9999,10000,Globoplay,Não,Detrator,23.66
10000,10001,Prime,Não,Detrator,16.08
10001,10002,Globoplay,Não,Promotor,27.57
10002,10003,Prime,Sim,Promotor,11.06
10003,10004,Globoplay,Não,Detrator,18.11
10004,10005,MAX,Não,Neutro,17.0
10005,10006,Globoplay,Não,Neutro,15.75
10006,10007,Disney,Sim,Promotor,27.26
10007,10008,MAX,Não,Promotor,18.06
10008,10009,Globoplay,Não,Promotor,15.01
10009,10010,Disney,Sim,Promotor,14.77
10010,10011,Globoplay,Sim,Detrator,23.42
10011,10012,Netflix,Não,Detrator,28.26
10012,10013,Disney,Não,Neutro,22.44
10013,10014,Netflix,Não,Neutro,18.62
10014,10015,Disney,Sim,Promotor,21.98
10015,10016,Netflix,Sim,Detrator,24.47
10016,10017,MAX,Não,Promotor,22.47
10017,10018,Disney,Não,Promotor,22.51
10018,10019,MAX,Não,Detrator,11.54
10019,10020,Prime,Não,Detrator,17.75
10020,10021,Netflix,Não,Promotor,27.29
10021,10022,Netflix,Não,Detrator,11.25
10022,10023,Prime,Não,Detrator,21.05
10023,10024,Globoplay,Não,Neutro,24.75
10024,10025,Netflix,Não,Promotor,28.71
10025,10026,Globoplay,Não,Promotor,23.79
10026,10027,MAX,Não,Detrator,21.99
10027,10028,Prime,Sim,Promotor,29.77
10028,10029,Netflix,Sim,Detrator,24.27
10029,10030,Disney,Não,Promotor,11.24
10030,10031,Netflix,Sim,Neutro,21.3
10031,10032,Globoplay,Sim,Promotor,16.31
10032,10033,Prime,Não,Neutro,29.2
10033,10034,MAX,Não,Promotor,19.72
10034,10035,MAX,Não,Neutro,21.86
10035,10036,Disney,Sim,Promotor,20.25
10036,10037,MAX,Não,Promotor,10.44
10037,10038,Globoplay,Não,Promotor,15.96
10038,10039,Disney,Sim,Promotor,14.04
10039,10040,Prime,Não,Promotor,28.11
10040,10041,Globoplay,Não,Detrator,20.66
10041,10042,Prime,Não,Detrator,22.57
10042,10043,Netflix,Não,Promotor,19.92
10043,10044,MAX,Não,Promotor,11.46
10044,10045,Disney,Não,Promotor,23.62
10045,10046,MAX,Sim,Detrator,28.97
10046,10047,Globoplay,Não,Promotor,23.36
10047,10048,MAX,Sim,Promotor,12.07
10048,10049,Disney,Não,Detrator,10.1
10049,10050,Globoplay,Não,Promotor,17.77
10050,10051,Globoplay,Sim,Promotor,13.84
10051,10052,Disney,Sim,Promotor,15.09
10052,10053,Netflix,Sim,Neutro,20.15
10053,10054,Netflix,Sim,Neutro,29.39
10054,10055,MAX,Sim,Neutro,14.92
10055,10056,Globoplay,Não,Promotor,10.1
10056,10057,Prime,Não,Neutro,24.7
10057,10058,Disney,Não,Detrator,24.07
10058,10059,Disney,Não,Detrator,21.46
10059,10060,Disney,Não,Neutro,21.89
10060,10061,Globoplay,Não,Detrator,10.66
10061,10062,Disney,Sim,Promotor,21.15
10062,10063,Netflix,Não,Promotor,21.75
10063,10064,Netflix,Sim,Promotor,20.96
10064,10065,Disney,Não,Detrator,17.46
10065,10066,Netflix,Não,Detrator,26.83
10066,10067,Globoplay,Não,Promotor,13.82
10067,10068,Netflix,Não,Promotor,26.83
10068,10069,Netflix,Sim,Detrator,24.62
10069,10070,Prime,Não,Promotor,27.77
10070,10071,Netflix,Não,Detrator,14.53
10071,10072,MAX,Não,Neutro,29.62
10072,10073,Disney,Sim,Promotor,27.49
10073,10074,MAX,Não,Neutro,15.39
10074,10075,Prime,Sim,Neutro,18.46
10075,10076,MAX,Não,Detrator,29.16
10076,10077,Prime,Não,Detrator,16.95
10077,10078,Prime,Sim,Neutro,24.45
10078,10079,Prime,Não,Promotor,25.97
10079,10080,MAX,Não,Detrator,23.79
10080,10081,Prime,Sim,Detrator,25.92
10081,10082,Prime,Sim,Neutro,24.76
10082,10083,Prime,Não,Neutro,13.23
10083,10084,Disney,Não,Promotor,24.37
10084,10085,Disney,Não,Detrator,10.9
10085,10086,Disney,Sim,Detrator,21.92
10086,10087,Prime,Não,Promotor,27.21
10087,10088,MAX,Não,Promotor,20.32
10088,10089,Globoplay,Não,Neutro,22.54
10089,10090,Disney,Não,Detrator,25.03
10090,10091,Prime,Não,Promotor,21.66
10091,10092,Prime,Sim,Promotor,15.9
10092,10093,Netflix,Sim,Detrator,12.69
10093,10094,Disney,Sim,Promotor,12.32
10094,10095,MAX,Sim,Neutro,25.82
10095,10096,Netflix,Não,Detrator,22.64
10096,10097,Globoplay,Não,Promotor,25.21
10097,10098,Netflix,Não,Promotor,19.61
10098,10099,MAX,Não,Promotor,10.71
10099,10100,Disney,Não,Promotor,21.85
10100,10101,Prime,Não,Promotor,22.35
10101,10102,Disney,Não,Promotor,14.95
10102,10103,MAX,Sim,Promotor,20.49
10103,10104,Netflix,Sim,Neutro,18.6
10104,10105,Globoplay,Sim,Promotor,29.77
10105,10106,Prime,Não,Promotor,22.09
10106,10107,MAX,Não,Neutro,29.63
10107,10108,Prime,Não,Promotor,22.51
10108,10109,MAX,Sim,Promotor,28.88
10109,10110,Disney,Não,Promotor,23.91
10110,10111,MAX,Não,Promotor,24.0
10111,10112,Disney,Sim,Promotor,27.99
10112,10113,MAX,Não,Promotor,16.63
10113,10114,Globoplay,Sim,Promotor,16.28
10114,10115,MAX,Sim,Neutro,24.91
10115,10116,Disney,Não,Promotor,27.37
10116,10117,Globoplay,Sim,Detrator,27.22
10117,10118,Prime,Sim,Promotor,25.7
10118,10119,Globoplay,Não,Neutro,29.1
10119,10120,Globoplay,Não,Promotor,16.32
10120,10121,Prime,Sim,Promotor,29.81
10121,10122,Disney,Sim,Promotor,26.48
10122,10123,Disney,Não,Promotor,18.21
10123,10124,Globoplay,Sim,Promotor,16.5
10124,10125,MAX,Não,Promotor,25.49
10125,10126,MAX,Não,Neutro,29.04
10126,10127,Prime,Não,Promotor,15.36
10127,10128,MAX,Sim,Detrator,27.38
10128,10129,Disney,Não,Neutro,24.31
10129,10130,Disney,Sim,Detrator,20.75
10130,10131,Globoplay,Sim,Promotor,10.28
10131,10132,Prime,Sim,Detrator,23.4
10132,10133,Globoplay,Sim,Promotor,17.8
10133,10134,Netflix,Sim,Promotor,14.98
10134,10135,MAX,Sim,Promotor,24.22
10135,10136,Netflix,Não,Promotor,29.21
10136,10137,Netflix,Não,Promotor,23.57
10137,10138,Globoplay,Não,Promotor,23.36
10138,10139,Globoplay,Não,Promotor,26.61
10139,10140,Globoplay,Não,Neutro,22.6
10140,10141,Disney,Não,Promotor,17.92
10141,10142,Prime,Não,Detrator,28.79
10142,10143,MAX,Não,Neutro,18.48
10143,10144,Netflix,Sim,Detrator,23.23
10144,10145,Disney,Sim,Neutro,23.89
10145,10146,Globoplay,Sim,Detrator,12.07
10146,10147,Prime,Sim,Detrator,24.27
10147,10148,Netflix,Não,Detrator,16.52
10148,10149,Disney,Não,Neutro,23.67
10149,10150,MAX,Sim,Neutro,25.84
10150,10151,Prime,Não,Promotor,18.59
10151,10152,MAX,Sim,Promotor,29.55
10152,10153,Prime,Sim,Promotor,22.53
10153,10154,Prime,Sim,Neutro,29.53
10154,10155,Netflix,Não,Promotor,16.12
10155,10156,Prime,Não,Promotor,26.32
10156,10157,Globoplay,Não,Promotor,10.24
10157,10158,Disney,Sim,Promotor,23.67
10158,10159,Prime,Não,Neutro,14.45
10159,10160,MAX,Sim,Promotor,10.5
10160,10161,MAX,Não,Detrator,14.87
10161,10162,Prime,Não,Detrator,11.62
10162,10163,MAX,Não,Promotor,21.56
10163,10164,MAX,Não,Promotor,28.0
10164,10165,Globoplay,Não,Detrator,28.63
10165,10166,Disney,Não,Detrator,13.83
10166,10167,Disney,Não,Promotor,22.96
10167,10168,Prime,Não,Detrator,11.88
10168,10169,MAX,Não,Promotor,21.62
10169,10170,Prime,Sim,Detrator,27.95
10170,10171,Netflix,Sim,Promotor,16.53
10171,10172,Globoplay,Sim,Promotor,27.77
10172,10173,Globoplay,Sim,Neutro,10.27
10173,10174,Globoplay,Não,Neutro,23.74
10174,10175,MAX,Não,Promotor,17.82
10175,10176,Disney,Não,Promotor,29.99
10176,10177,Disney,Não,Promotor,24.53
10177,10178,Disney,Não,Promotor,24.01
10178,10179,Prime,Sim,Promotor,15.34
10179,10180,Disney,Não,Promotor,20.11
10180,10181,MAX,Não,Promotor,21.15
10181,10182,Prime,Sim,Promotor,14.07
10182,10183,MAX,Não,Promotor,18.34
10183,10184,Disney,Não,Detrator,28.92
10184,10185,Prime,Sim,Promotor,19.77
10185,10186,MAX,Não,Promotor,29.41
10186,10187,Disney,Não,Promotor,26.95
10187,10188,Netflix,Não,Promotor,10.3
10188,10189,Netflix,Sim,Promotor,22.72
10189,10190,Globoplay,Não,Promotor,22.23
10190,10191,Netflix,Não,Neutro,19.76
10191,10192,Prime,Não,Neutro,10.12
10192,10193,Globoplay,Não,Promotor,22.03
10193,10194,MAX,Não,Detrator,27.42
10194,10195,Disney,Não,Neutro,17.9
10195,10196,Netflix,Não,Promotor,11.52
10196,10197,Globoplay,Não,Promotor,15.5
10197,10198,Globoplay,Não,Promotor,25.45
10198,10199,Disney,Não,Promotor,28.42
10199,10200,MAX,Não,Promotor,29.16
10200,10201,Prime,Não,Promotor,11.94
10201,10202,MAX,Não,Promotor,28.65
10202,10203,Prime,Sim,Promotor,16.26
10203,10204,Netflix,Não,Neutro,19.3
10204,10205,Globoplay,Não,Promotor,16.37
10205,10206,Prime,Não,Promotor,21.66
10206,10207,MAX,Não,Promotor,20.09
10207,10208,Disney,Não,Promotor,18.92
10208,10209,MAX,Não,Detrator,10.25
10209,10210,Netflix,Não,Promotor,29.38
10210,10211,MAX,Não,Promotor,16.56
10211,10212,Disney,Não,Promotor,16.21
10212,10213,Globoplay,Não,Detrator,28.74
10213,10214,Globoplay,Não,Promotor,16.64
10214,10215,Globoplay,Sim,Promotor,19.82
10215,10216,MAX,Não,Promotor,20.67
10216,10217,Prime,Não,Promotor,15.07
10217,10218,MAX,Não,Promotor,20.41
10218,10219,MAX,Não,Promotor,24.13
10219,10220,MAX,Não,Neutro,21.47
10220,10221,Disney,Não,Promotor,28.26
10221,10222,Disney,Não,Promotor,23.1
10222,10223,Disney,Sim,Neutro,27.38
10223,10224,Disney,Sim,Detrator,16.76
10224,10225,Netflix,Não,Detrator,16.03
10225,10226,MAX,Não,Promotor,29.51
10226,10227,Disney,Não,Detrator,10.62
10227,10228,MAX,Não,Detrator,12.6
10228,10229,Disney,Não,Promotor,23.04
10229,10230,MAX,Não,Promotor,15.2
10230,10231,Prime,Não,Promotor,20.69
10231,10232,Prime,Não,Promotor,17.04
10232,10233,Globoplay,Não,Promotor,17.22
10233,10234,Prime,Não,Promotor,24.65
10234,10235,Prime,Sim,Detrator,27.34
10235,10236,MAX,Não,Detrator,22.15
10236,10237,Disney,Não,Promotor,26.31
10237,10238,Prime,Sim,Promotor,29.51
10238,10239,Prime,Não,Detrator,26.55
10239,10240,Globoplay,Não,Promotor,26.65
10240,10241,Netflix,Sim,Neutro,28.86
10241,10242,Globoplay,Não,Detrator,26.64
10242,10243,Prime,Não,Promotor,21.35
10243,10244,MAX,Não,Promotor,19.45
10244,10245,Prime,Não,Neutro,10.5
10245,10246,Prime,Não,Detrator,21.0
10246,10247,MAX,Não,Promotor,26.41
10247,10248,MAX,Não,Promotor,18.5
10248,10249,Prime,Não,Detrator,18.96
10249,10250,MAX,Não,Detrator,21.5
10250,10251,Disney,Não,Promotor,14.39
10251,10252,Globoplay,Sim,Detrator,29.1
10252,10253,MAX,Sim,Detrator,15.39
10253,10254,Netflix,Não,Promotor,22.14
10254,10255,Disney,Não,Promotor,28.38
10255,10256,MAX,Não,Neutro,27.15
10256,10257,MAX,Não,Detrator,22.54
10257,10258,Prime,Não,Promotor,13.01
10258,10259,Prime,Não,Promotor,26.36
10259,10260,Disney,Não,Promotor,13.22
10260,10261,Disney,Não,Promotor,25.24
10261,10262,Globoplay,Não,Neutro,24.58
10262,10263,Prime,Sim,Detrator,24.03
10263,10264,Prime,Não,Neutro,15.64
10264,10265,Disney,Não,Promotor,22.43
10265,10266,Prime,Não,Promotor,20.02
10266,10267,MAX,Sim,Neutro,19.08
10267,10268,MAX,Sim,Promotor,18.97
10268,10269,Prime,Sim,Detrator,18.98
10269,10270,Netflix,Sim,Detrator,15.39
10270,10271,Netflix,Não,Promotor,17.49
10271,10272,MAX,Não,Promotor,29.36
10272,10273,Disney,Sim,Neutro,27.13
10273,10274,Prime,Não,Neutro,26.1
10274,10275,Disney,Não,Promotor,25.31
10275,10276,Prime,Não,Promotor,19.84
10276,10277,Prime,Não,Neutro,18.62
10277,10278,MAX,Não,Promotor,11.51
10278,10279,Prime,Não,Promotor,16.87
10279,10280,Prime,Não,Promotor,28.38
10280,10281,Disney,Não,Promotor,22.33
10281,10282,Globoplay,Não,Promotor,17.52
10282,10283,Disney,Não,Promotor,19.47
10283,10284,Prime,Não,Promotor,15.44
10284,10285,Prime,Não,Detrator,14.09
10285,10286,Globoplay,Não,Detrator,19.72
10286,10287,Netflix,Não,Detrator,11.91
10287,10288,MAX,Não,Promotor,27.89
10288,10289,Netflix,Não,Neutro,25.24
10289,10290,Netflix,Sim,Promotor,11.37
10290,10291,Netflix,Não,Promotor,10.45
10291,10292,Prime,Não,Neutro,19.07
10292,10293,MAX,Não,Promotor,12.5
10293,10294,MAX,Sim,Neutro,20.42
10294,10295,Prime,Não,Neutro,29.95
10295,10296,Netflix,Não,Promotor,11.26
10296,10297,Disney,Não,Promotor,14.19
10297,10298,Netflix,Sim,Promotor,15.94
10298,10299,Netflix,Não,Detrator,17.66
10299,10300,MAX,Não,Neutro,20.23
10300,10301,Prime,Não,Promotor,18.87
10301,10302,Globoplay,Não,Detrator,14.71
10302,10303,MAX,Não,Promotor,24.32
10303,10304,Globoplay,Sim,Promotor,11.78
10304,10305,Prime,Não,Neutro,18.5
10305,10306,Globoplay,Não,Neutro,26.7
10306,10307,Prime,Não,Neutro,21.11
10307,10308,Prime,Não,Neutro,14.53
10308,10309,MAX,Não,Neutro,27.72
10309,10310,Globoplay,Sim,Promotor,19.6
10310,10311,Disney,Sim,Promotor,10.66
10311,10312,Globoplay,Não,Promotor,15.77
10312,10313,Globoplay,Não,Promotor,15.3
10313,10314,Disney,Sim,Detrator,12.6
10314,10315,Globoplay,Não,Detrator,17.01
10315,10316,Prime,Não,Neutro,19.7
10316,10317,Globoplay,Sim,Promotor,21.35
10317,10318,MAX,Não,Detrator,15.45
10318,10319,Prime,Sim,Promotor,21.62
10319,10320,Globoplay,Não,Promotor,18.27
10320,10321,MAX,Não,Neutro,18.03
10321,10322,Disney,Não,Promotor,26.92
10322,10323,MAX,Não,Promotor,20.3
10323,10324,Netflix,Sim,Promotor,21.84
10324,10325,Prime,Não,Promotor,10.95
10325,10326,Disney,Não,Detrator,29.5
